Value,Step
0.8865762634091091,0
1.3125349949012408,1
1.3066479481413302,2
1.277341339066489,3
1.2841248914085877,4
1.291623336309776,5
1.304198313788037,6
1.3003108361756766,7
1.2895349308498778,8
1.2948572731242896,9
1.2931083291059238,10
1.315812502578652,11
1.3217989435554809,12
1.3187083991167736,13
1.3257917538716613,14
1.278033536143418,15
1.2952123158631146,16
1.3095897138208892,17
1.303360494781972,18
1.2812085223055336,19
1.287500048581958,20
1.2910470735319635,21
1.303903728287163,22
1.3097052330037362,23
1.3024662050730986,24
1.3108372392617322,25
1.2920805666855666,26
1.3124052486392095,27
1.2979491290510865,28
1.296862379988687,29
1.3105653289707844,30
1.2876526217732964,31
1.3146173651199569,32
1.2984924692431232,33
1.2747036189029117,34
1.301026543225176,35
1.2895839939818006,36
1.3030665525068406,37
1.2985518507459328,38
1.2753864660410106,39
