Value,Step
0.8459194216791155,0
1.3322983833939113,1
1.3938377376468514,2
1.3801603578125445,3
1.266126396309226,4
1.3555054003060474,5
1.3761436901176134,6
1.3907691502222352,7
1.3677432185844705,8
1.3357228807983355,9
1.3564415416612567,10
1.342491490071254,11
1.2963799691806546,12
1.2478398026432223,13
1.3462963998134008,14
1.3605488195013118,15
1.310064065195185,16
1.3337337373377312,17
1.2981084565208652,18
1.334746408079948,19
1.286294726135756,20
1.3285218711144098,21
1.3219645228096475,22
1.3209386949387083,23
1.2879979897367297,24
1.2474034907662768,25
1.333820316981553,26
1.2217994582319007,27
1.2445266142782643,28
1.275329510272325,29
1.2017688559906625,30
1.322081226767286,31
1.311953737563021,32
1.2757388929551143,33
1.2417082342493846,34
1.3098455549900678,35
1.3374593964826407,36
1.2892344816118895,37
1.3187360069118164,38
1.31572391666592,39
