Value,Step
1.376642176700685,0
1.3507444078640993,1
1.351111882656531,2
1.3275884738897208,3
1.3353456862926012,4
1.3362996694692988,5
1.336438061043715,6
1.3310143187582857,7
1.3357984092857598,8
1.3198274026081678,9
1.3148995464753825,10
1.3169156877023096,11
1.32282079298633,12
1.3288354495077361,13
1.3214912410514033,14
1.3222905742753608,15
1.309732105581722,16
1.3157551501451026,17
1.3140270327433783,18
1.310461428649248,19
1.3186177399205365,20
1.3084210011444213,21
1.316358199960864,22
1.318601565079083,23
1.304752641241911,24
1.3111889281389608,25
1.309942601949442,26
1.304417949096241,27
1.3067328789140875,28
1.3110017935741451,29
1.3112886339869134,30
1.3136218479254267,31
1.3083272896370681,32
1.30865152064295,33
1.3080515647081505,34
1.3148167952950613,35
1.309811250391158,36
1.3126953222989242,37
1.3124917863209082,38
1.308489131025612,39
1.3095032096233667,40
1.312572344177761,41
1.3037560054008188,42
1.3096468145010902,43
1.306201975575596,44
1.308554304598207,45
1.3088987495310194,46
1.3121025474147723,47
1.3047382179391738,48
1.30646429828871,49
1.309356694069254,50
1.305941722051263,51
1.3019832114850325,52
1.305553833179251,53
1.3004526226547557,54
1.2986945591674972,55
1.3013404511227715,56
1.3016073288171985,57
1.2993807959423207,58
1.3089364824725092,59
1.306757014178167,60
1.2987573069335652,61
1.3069452021494186,62
1.301481821495467,63
1.309074516821208,64
1.3129452637991623,65
1.3062767155951638,66
1.3056323500836962,67
1.3025545859496976,68
1.3053085481921711,69
1.3001001695775192,70
1.3044509535008895,71
1.3025565083128698,72
1.3092173014265567,73
1.3003989861102967,74
1.3088556363051798,75
1.3088552718822704,76
1.3037748755930991,77
1.3033836515065562,78
1.3055019586454841,79
1.3064866452493296,80
1.2997211916068876,81
1.315474539986545,82
1.304131616234091,83
1.3046741377202742,84
1.309411937951418,85
1.302572846606131,86
1.302494057955342,87
1.3058393939277808,88
1.3079118161563474,89
1.3062320649246706,90
1.3008329918074186,91
1.3122866143105636,92
1.3063262339825277,93
1.310207972435669,94
1.3025881001943127,95
1.3016818345579475,96
1.3055016971619198,97
1.3052544164224582,98
1.306177183045824,99
