Value,Step
1.5817383869666188,0
1.7323181084446497,1
1.3964891646841981,2
1.837385854226519,3
1.2122609419197916,4
1.447202145334157,5
1.575948520010857,6
1.5305887580011184,7
1.340230564107402,8
1.508791431481916,9
1.4705040132603664,10
1.4620975895208659,11
1.5440222856106114,12
1.31512280767262,13
1.3355322597014667,14
1.4571697430213557,15
1.5418224479398592,16
1.4506022353365837,17
1.0802182162385572,18
1.395806437876285,19
1.6098977650079287,20
1.1808915309621526,21
1.306177397215616,22
1.2795192922587486,23
1.2267174179111837,24
1.44563518107261,25
1.3052803734642142,26
1.1194795699202955,27
1.5575042899789306,28
1.230999615214786,29
1.8156056845145379,30
1.321811117132005,31
1.2514667023258272,32
1.2478248415319912,33
1.320957772744673,34
1.4249090888186928,35
1.4736933076973981,36
1.3532164406711524,37
1.280021772303216,38
1.2486338055340835,39
1.2911832426682344,40
1.3711217768639337,41
1.3373763965838552,42
1.3829102411488676,43
1.5430620782328437,44
1.6410754098714524,45
1.0814338766257494,46
1.2930326843954136,47
1.2168326054037972,48
1.3273853923929972,49
1.3478803379045674,50
1.4904079059919735,51
1.12499992960274,52
1.497808927034212,53
1.3545465108655765,54
1.5401981582513884,55
1.6006607056951239,56
1.4932381011445004,57
1.206743819319859,58
1.5010511059691436,59
1.4147812364149412,60
1.2770186280655025,61
1.6005055689042846,62
1.1306974908592995,63
1.3279035312635195,64
1.4952127660508956,65
1.1349586067403936,66
1.2151726323262626,67
1.4220945179696796,68
1.1748752027886835,69
1.545766500016408,70
1.3207940431850997,71
1.1768211452209945,72
1.4757992277974126,73
1.3292672245170816,74
1.4216891128903255,75
1.3736959202030097,76
1.3293305567929348,77
1.429289879232867,78
1.40394254435914,79
1.3397158406919203,80
1.380264306379141,81
1.2154853608104923,82
1.6202601897882898,83
1.1338598180207555,84
0.952024835787063,85
1.3714097653466337,86
1.3640856150655563,87
1.4404630934760383,88
1.4108328605328664,89
1.4271718068745165,90
1.2955105309072976,91
1.1457920951568876,92
1.4763456118993283,93
1.4783217914746853,94
1.5497581754809184,95
1.7902403572993992,96
1.5413076888673403,97
1.625759481738024,98
1.3334292313495,99
