Wall time,Step,Value
1728872529.3702395,0,0.827302098274231
1728877313.6449409,1,0.894896924495697
1728882174.4471278,2,0.9040751457214355
1728886998.7815168,3,0.9098864793777466
1728891831.740313,4,0.9129578471183777
1728896771.3938837,5,0.9140380620956421
1728943053.00166,6,0.9158180952072144
1728948167.2198431,7,0.9166627526283264
1728953101.7480123,8,0.9178215265274048
1728958481.0804815,9,0.9191198945045471
1728964551.513862,10,0.919914722442627
1728970211.1812148,11,0.9198050498962402
1728975722.4028962,12,0.9209200739860535
1728981305.5105038,13,0.9209335446357727
1728986908.8000517,14,0.9215770959854126
1728992608.3257086,15,0.921723484992981
1728998409.1061845,16,0.9213931560516357
1729004424.494745,17,0.9226294159889221
1729010413.186034,18,0.923141360282898
1729016582.6683538,19,0.9227763414382935
1729023349.0421996,20,0.9232262969017029
1729029969.947696,21,0.9232905507087708
1729036391.578396,22,0.9234895706176758
1729042747.5770366,23,0.9239752888679504
1729049210.98681,24,0.9234422445297241
1729054755.1557562,25,0.9234915971755981
1729060031.6391046,26,0.9239423871040344
1729065692.154042,27,0.9240356087684631
1729070925.0770762,28,0.9241987466812134
1729076464.2911532,29,0.9243689179420471
1729081865.9009476,30,0.9247243404388428
1729087226.243873,31,0.9245549440383911
1729092999.4473767,32,0.9245495200157166
1729099672.5273805,33,0.924680769443512
1729105316.142199,34,0.924716591835022
1729111290.0809684,35,0.9246499538421631
1729117141.6708736,36,0.924787163734436
1729123226.5821424,37,0.9250594973564148
1729128807.3825066,38,0.9248859286308289
1729135652.7389445,39,0.9246928691864014
1729164651.6838253,40,0.92490154504776
1729170107.2671723,41,0.9247757196426392
1729175712.4064906,42,0.9248637557029724
1729181379.0797305,43,0.9254593253135681
1729187109.7945313,44,0.9256389737129211
1729192795.204079,45,0.9252145290374756
1729198512.3423123,46,0.9257735013961792
1729204339.2757883,47,0.925576388835907
1729223375.910599,47,0.9257447719573975
1729228632.4188893,48,0.9256855249404907
1729233801.5271125,49,0.9256836771965027
1729239017.216353,50,0.9262621998786926
1729244136.1244476,51,0.9264378547668457
1729249785.2316341,52,0.9259757399559021
1729255138.7518787,53,0.9264687299728394
1729260918.341569,54,0.9262261390686035
1729266682.1634357,55,0.9266393184661865
1729272361.6399932,56,0.9263466596603394
1729277843.5514896,57,0.9259071946144104
1729283175.2356827,58,0.926649808883667
1729288573.124142,59,0.9268569946289062
1729306338.8808403,60,0.9266945123672485
1729311241.2415564,61,0.9267563819885254
1729316177.6429656,62,0.9266805648803711
1729321065.6670356,63,0.9271491765975952
1729326039.5514362,64,0.9273231625556946
1729330994.392642,65,0.9268827438354492
1729335962.0158556,66,0.9272804856300354
1729340880.162225,67,0.9270411133766174
1729345789.0149627,68,0.9273976683616638
1729350665.8828661,69,0.9270700216293335
1729355655.0304883,70,0.9266493916511536
1729360559.7184129,71,0.9271652698516846
1729365670.3144507,72,0.9273887872695923
1729370934.0788302,73,0.9269724488258362
1729376143.9535167,74,0.9272450804710388
1729381404.88192,75,0.9272652864456177
1729386653.1836877,76,0.9272633194923401
1729391897.6724484,77,0.9276005029678345
1729397123.9194036,78,0.9270755648612976
1729402402.4914534,79,0.9269158244132996
1729407718.6086535,80,0.9273504614830017
1729413007.2157438,81,0.9273632168769836
1729418234.6639962,82,0.9272691607475281
1729423459.4664526,83,0.9271872043609619
1729428396.1041741,84,0.9274997711181641
1729433470.7137418,85,0.927374005317688
1729438505.0928097,86,0.9273064136505127
1729443552.7083545,87,0.9274006485939026
1729448545.702651,88,0.9273649454116821
1729467507.3430111,89,0.927301824092865
1729472300.624631,90,0.9273659586906433
1729476904.0559058,91,0.9273074269294739
1729481535.9576137,92,0.92771315574646
1729486109.4558785,93,0.9279063940048218
1729490752.0812216,94,0.9274345636367798
1729495285.2235909,95,0.9277969002723694
1729499839.1745238,96,0.9275656342506409
1729504596.9337165,97,0.9279069304466248
1729509116.4515083,98,0.9275211691856384
1729513764.584539,99,0.9271406531333923
1729518468.7382321,100,0.92762291431427
1729523087.7012205,101,0.9278236627578735
1729527653.8597999,102,0.9273966550827026
1729532326.0013237,103,0.9276071190834045
1729536877.5088866,104,0.9276803135871887
