Value,Step
0.8455025579580873,0
1.3066424801418628,1
1.3838438813049194,2
1.3744374843184275,3
1.415044767787589,4
1.358827424985824,5
1.3646960079666424,6
1.3641718826349807,7
1.3806010313527588,8
1.3590128867473918,9
1.3703859874821769,10
1.3520802317907825,11
1.3295972512588168,12
1.3379468285567027,13
1.3119861431043418,14
1.350840000513075,15
1.3659646138451311,16
1.3669274357638845,17
1.3630553812628983,18
1.357704455280562,19
1.3595547925223845,20
1.3559231086518444,21
1.3292905951435534,22
1.224735588494794,23
1.3653832568148585,24
1.2854997823494516,25
1.3499656353666067,26
1.2176397389102895,27
1.3191037274508541,28
1.2435655629227416,29
1.3668567821726445,30
1.3484291926765124,31
1.3091013045064952,32
1.3227404227944963,33
1.2979890610835796,34
1.3275391491131685,35
1.2976658168440154,36
1.321513770452656,37
1.2969999325203447,38
1.3342869638766783,39
