Value,Step
0.8252378892297718,0
1.7027728576425845,1
1.3801110298262877,2
1.2487473491502357,3
1.3991829839681098,4
1.59384744257359,5
1.2277507401941838,6
1.4681101190415897,7
1.5170368791353845,8
1.4841026035594433,9
1.1369349773370383,10
1.4107897417182567,11
1.407524838814324,12
1.48858983158727,13
1.1952743127827639,14
1.354989072737395,15
1.6465040619781615,16
1.3936691611313257,17
1.6120482975871764,18
1.6387689354850283,19
1.387937759212402,20
1.2398366167920312,21
1.3101726311282038,22
1.0713155397751573,23
1.5569133789985865,24
1.4907881602052988,25
1.4830231938465144,26
1.3923288884195661,27
1.3068201345205572,28
1.3010803582848902,29
1.3589395986423962,30
1.3760962774114311,31
1.2114070619491406,32
1.3077857156409296,33
1.280848161384014,34
1.1658728104060612,35
1.3885029739450088,36
1.1791001859649686,37
1.4361224774879628,38
1.4181679087622656,39
