Value,Step
0.8812376882204043,0
1.3625579280412927,1
1.33555251419725,2
1.4033866772831545,3
1.3206389443588622,4
1.3898047200171877,5
1.1719434149006087,6
1.2208313469194623,7
1.4574126336630226,8
1.3282469830100587,9
1.2545341750592691,10
1.118951419939932,11
1.257109621026771,12
1.5494327476631926,13
1.4921585512835829,14
1.3007762581159852,15
1.1436800802161313,16
1.17095987912724,17
1.439786446510315,18
1.1834668269224375,19
1.3697560485627807,20
1.4371430992563332,21
1.5491487493922704,22
1.7078721268300594,23
1.6369494881127309,24
1.3808240364672872,25
0.855872582555621,26
1.5115286858154293,27
1.369260533672047,28
1.5463046992097824,29
1.5612714465731252,30
1.2321226986707718,31
1.3319207131063355,32
1.3111431415379005,33
1.2584286026193152,34
1.3923866371816047,35
1.4380739132275886,36
1.278729369686603,37
1.3532917831689986,38
1.4088236077598537,39
