Value,Step
0.8457183198199921,0
0.9153989133929592,1
0.9145510199415641,2
0.9105640875289096,3
0.8894334551921276,4
0.903002273892055,5
0.9029425519803631,6
0.9114653289507557,7
0.897843810855454,8
0.8839660143547217,9
0.8831419499596652,10
0.8968597956701908,11
0.9007513169026755,12
0.895010233263846,13
0.89812847101816,14
0.8834472320771549,15
0.877817061225802,16
0.8916866384953732,17
0.8936955023192585,18
0.8927210969801443,19
0.8738294856018237,20
0.8898913921200088,21
0.8919542898991472,22
0.9022601004581824,23
0.8890173508497096,24
0.8774851667812016,25
0.8901475105263669,26
0.8940681005380429,27
0.8928641303078493,28
0.8904202687281937,29
0.8939053165924986,30
0.892038498669476,31
0.8743203979881804,32
0.8893516817035421,33
0.8928856291543391,34
0.9023371014070956,35
0.89088045843638,36
0.8784799290232329,37
0.8787286749565829,38
0.8919357956294671,39
