Value,Step
0.8835449299101108,0
1.307857643611509,1
1.2870113416187097,2
1.2334769182772138,3
1.255080180959533,4
1.1579183013973529,5
1.292963988046108,6
1.209260269698372,7
1.1111856552850399,8
1.2300039964216327,9
1.1685393616066138,10
1.2132620346590197,11
1.1921171768933727,12
1.2208060862741246,13
1.0292771352954744,14
1.0008493075522575,15
0.9576831586248814,16
1.1234739410776269,17
1.207091509236956,18
1.1110111842932393,19
1.024508348853938,20
1.1062258756352052,21
1.1208510781786365,22
1.2912550226224868,23
1.0892847981317126,24
0.9568089567097915,25
1.0085804462651164,26
0.9972995807631563,27
1.0675181280265742,28
1.0323545948564112,29
0.8498815257069101,30
0.9390616016402615,31
0.9063664419093789,32
0.9022031433882238,33
0.8365522744084344,34
0.7370892589664421,35
0.7730086892180535,36
0.8237085074463563,37
0.7549802240972877,38
0.7632939809166237,39
