Value,Step
1.2143011809637723,0
1.0982545782079478,1
1.1109053981088048,2
0.9074586600525556,3
1.1094565424530844,4
1.081013852594657,5
1.4280115511385927,6
1.4779101902605372,7
1.6298606209726634,8
1.3742247473406688,9
1.495760613170087,10
1.3994888522898246,11
1.5576008739804426,12
1.5907127702508368,13
1.5335741607663405,14
1.2338323150697619,15
1.1713120798072159,16
1.566490061240294,17
1.4441599299423216,18
1.3226278450911788,19
1.3282668408323495,20
1.4457708725110563,21
1.5583346618569793,22
1.4001636061766711,23
1.0794310689471232,24
1.367137177725034,25
1.3275847685861453,26
1.3689925737933613,27
1.2622737776493465,28
1.5575232067665392,29
1.5770233765276689,30
1.277264641171226,31
1.422437535124591,32
1.5134371596798606,33
1.5594720192729374,34
1.604455224626614,35
1.564439751994684,36
1.3554083756489628,37
1.499646831154949,38
1.3215808830119218,39
1.4332931652768304,40
1.1253324687728328,41
1.3950858367345331,42
1.3776878774714734,43
1.5898250641924818,44
1.377257443604633,45
1.3126088139415277,46
1.5054988619854859,47
1.5827594455401386,48
1.455369791196989,49
1.5859600586823968,50
1.4345623270400036,51
1.4584935059262794,52
1.4502877726875842,53
1.403902235242677,54
1.3200509716606097,55
1.4454913039544444,56
1.5125275902699373,57
1.4374561604668277,58
1.835057110131459,59
1.5490027766175714,60
1.3854794658853458,61
1.3408855500986263,62
1.2204262404524564,63
1.2791170198372148,64
1.4317659190387497,65
1.8058542128888682,66
1.2736019879465037,67
1.517841425245285,68
1.6680300114054685,69
1.3478916736722595,70
1.4402900836271904,71
1.4705141652758238,72
1.17751744784925,73
1.682147627612578,74
1.5603077144675703,75
1.4775909363649409,76
1.6734725949163562,77
1.3832402103017543,78
1.6290273576222223,79
1.344132150138668,80
1.2903514045859272,81
1.4545093214183753,82
1.254039479036236,83
1.5877360745541211,84
1.4344543873638465,85
1.6647648857107256,86
1.5965887717462999,87
1.5930263497490318,88
1.2602792982547846,89
1.367765146966899,90
1.5594098258356937,91
1.2880042811011898,92
1.193168578787993,93
1.5407422847935042,94
1.4429213861768169,95
1.2029074560309503,96
1.3178161760076603,97
1.4511061208431288,98
1.6131079372154535,99
