Value,Step
1.0357174674117369,0
1.0674076658801248,1
1.0998741478883125,2
1.1716059197106619,3
1.2081730953677945,4
1.2401661842883305,5
1.2704498543611227,6
1.3491000749841322,7
1.3378058562870625,8
1.3790413055217539,9
1.376022930013632,10
1.4063177071717208,11
1.4156099700383773,12
1.427220886574436,13
1.4259309972038774,14
1.4356800226141797,15
1.427976359444979,16
1.4148304781718148,17
1.4499679336701294,18
1.4305055361927916,19
1.4249004424305913,20
1.433277574142274,21
1.4359797655262618,22
1.4335850771338934,23
1.4299351836152157,24
1.4391052031731875,25
1.4427634360953798,26
1.4437905624410756,27
1.4303618166103158,28
1.4299821320837631,29
1.4277269783196447,30
1.422805880835938,31
1.4206326823672466,32
1.4292264971147595,33
1.430246637285692,34
1.4426415703194173,35
1.4103627850334444,36
1.424152390977473,37
1.4232481786987388,38
1.4233353629741978,39
1.4217715662059092,40
1.424462245647523,41
1.429745248501957,42
1.385689039267388,43
1.4038896118373458,44
1.430457226051695,45
1.417756315133056,46
1.4246422669612502,47
1.4136061300384015,48
1.437661578089894,49
1.4269086343081812,50
1.4123691061690697,51
1.422840264917736,52
1.4148417550085706,53
1.420825724098122,54
1.412098542914736,55
1.4305522365894876,56
1.4302346191153519,57
1.4270471352247296,58
1.410992661932138,59
1.4211119142526647,60
1.4128793254525833,61
1.4181612946577935,62
1.4090488489090467,63
1.4276370561566365,64
1.4275057163766425,65
1.4452730438093166,66
1.4217940677466065,67
1.4205442723653503,68
1.4192653201804395,69
1.4213704850041884,70
1.4323172595821243,71
1.4205435482639523,72
1.4041696951813978,73
1.4143136929020976,74
1.4028675103715385,75
1.4140841995384337,76
1.4064528838752512,77
1.4112037487758913,78
1.4023336906313593,79
1.4223703229215117,80
1.423363624197497,81
1.4416320048582132,82
1.4174535446917396,83
1.4160036536256784,84
1.4155344381474684,85
1.4162764414138331,86
1.4289358309843228,87
1.416428727130248,88
1.3988682405505455,89
1.4099653228482179,90
1.4164310684794412,91
1.4001318697006453,92
1.4286963019618648,93
1.3961907873290087,94
1.4009982182974596,95
1.4046054277303888,96
1.412552721985563,97
1.4020214366915456,98
1.3985560934669952,99
